Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,PARK,Sunday
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,MISSION,NONE,1000 Block of POTRERO AV,-122.4065391,37.75648641,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Wednesday,CENTRAL,"ARREST, BOOKED",LEAVENWORTH ST / CALIFORNIA ST,-122.4157547,37.79120677,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,TENDERLOIN,"ARREST, BOOKED",100 Block of POWELL ST,-122.4080145,37.78595078,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Saturday,PARK,"ARREST, BOOKED",1800 Block of EDDY ST,-122.4380984,37.78063886,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Tuesday,RICHMOND,"ARREST, BOOKED",5400 Block of GEARY BL,-122.4777721,37.78028491,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,TENDERLOIN,"ARREST, BOOKED",300 Block of OFARRELL ST,-122.4105093,37.78604322,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Saturday,TARAVAL,"ARREST, BOOKED",0 Block of CAMBON DR,-122.4744446,37.7183022,,
ASSAULT,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE,Sunday,BAYVIEW,"ARREST, BOOKED",1300 Block of REVERE AV,-122.3855455,37.72897973,,
ASSAULT,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE,Tuesday,CENTRAL,"ARREST, BOOKED",300 Block of GRANT AV,-122.4054808,37.79033129,,
ASSAULT,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE,Friday,SOUTHERN,"ARREST, BOOKED",13TH ST / HARRISON ST,-122.4133885,37.76950065,,
ASSAULT,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE,Friday,NORTHERN,"ARREST, BOOKED",3300 Block of FILLMORE ST,-122.436216,37.80033242,,
ASSAULT,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE,Sunday,MISSION,NONE,600 Block of VALENCIA ST,-122.4216442,37.76311246,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,CENTRAL,JUVENILE BOOKED,300 Block of BAY ST,-122.4128038,37.80577399,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,MISSION,NONE,23RD ST / UTAH ST,-122.4054558,37.75433708,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,NORTHERN,"ARREST, BOOKED",GROVE ST / GOUGH ST,-122.4231684,37.77781574,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,RICHMOND,NONE,300 Block of 11TH AV,-122.4697662,37.78171356,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,CENTRAL,NONE,700 Block of GEARY ST,-122.4156546,37.78646724,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,INGLESIDE,NONE,0 Block of SGTJOHNVYOUNG LN,-122.4447071,37.72493073,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,INGLESIDE,"ARREST, BOOKED",3100 Block of MISSION ST,-122.4186097,37.74744531,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,NONE,500 Block of ALEMANY BL,-122.4213053,37.73216388,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,SOUTHERN,"ARREST, BOOKED",1500 Block of MISSION ST,-122.4179754,37.77375094,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,NORTHERN,NONE,500 Block of POLK ST,-122.4190171,37.78193603,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,TARAVAL,NONE,HIGUERA AV / VIDAL DR,-122.4847802,37.71844893,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,SOUTHERN,"ARREST, BOOKED",300 Block of 4TH ST,-122.3998338,37.78104322,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,TARAVAL,NONE,100 Block of CAINE AV,-122.4518719,37.71579411,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,TARAVAL,"ARREST, BOOKED",2200 Block of 37TH AV,-122.4952422,37.74497721,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,NONE,3500 Block of 19TH ST,-122.4218676,37.76012965,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,SOUTHERN,NONE,MISSION ST / 6TH ST,-122.4087106,37.78097067,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,CENTRAL,"ARREST, BOOKED",300 Block of JEFFERSON ST,-122.4182707,37.80785198,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,TARAVAL,"ARREST, BOOKED",3900 Block of 19TH AV,-122.4720076,37.71667311,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,NONE,22ND ST / MISSION ST,-122.4187487,37.75543719,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,PARK,NONE,1700 Block of HAIGHT ST,-122.4512881,37.76939671,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,SOUTHERN,NONE,3RD ST / MARKET ST,-122.4034341,37.78764305,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,MISSION,"ARREST, BOOKED",2100 Block of MISSION ST,-122.419529,37.76287767,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,MISSION,NONE,3000 Block of 16TH ST,-122.4210829,37.76491084,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,CENTRAL,NONE,100 Block of QUINCY ST,-122.4054897,37.79202763,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,NORTHERN,NONE,AUSTIN ST / VANNESS AV,-122.4220481,37.78895627,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,MISSION,"ARREST, BOOKED",500 Block of SOUTH VAN NESS AV,-122.417339,37.76436607,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,TENDERLOIN,NONE,200 Block of POWELL ST,-122.4082017,37.78688491,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,NONE,3300 Block of MISSION ST,-122.4212643,37.74358477,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,MISSION,NONE,3000 Block of 16TH ST,-122.4213053,37.76489741,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,SOUTHERN,NONE,100 Block of SPEAR ST,-122.3933265,37.79187362,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,PARK,NONE,700 Block of STANYAN ST,-122.4535129,37.76869698,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,PARK,NONE,700 Block of STANYAN ST,-122.4533763,37.76871427,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,NORTHERN,"ARREST, BOOKED",1600 Block of SACRAMENTO ST,-122.4200524,37.79154369,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,CENTRAL,"ARREST, BOOKED",NORTHPOINT ST / TAYLOR ST,-122.4154355,37.80634189,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,SOUTHERN,NONE,100 Block of TOWNSEND ST,-122.3915888,37.77969101,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,"ARREST, BOOKED",16TH ST / CALEDONIA ST,-122.4213819,37.76494809,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,SOUTHERN,"ARREST, BOOKED",500 Block of 5TH ST,-122.3999811,37.77762424,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,TENDERLOIN,NONE,400 Block of JONES ST,-122.4128571,37.78558044,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,NORTHERN,NONE,EDDY ST / POLK ST,-122.4191831,37.78309982,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,"ARREST, BOOKED",1100 Block of VALENCIA ST,-122.4208177,37.75448782,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,NONE,1000 Block of CHURCH ST,-122.4275889,37.75408299,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,NONE,24TH ST / POPLAR ST,-122.4211424,37.75207441,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,BAYVIEW,NONE,300 Block of WILLIAMS AV,-122.3994437,37.73017602,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,NONE,16TH ST / POTRERO AV,-122.4075383,37.76578275,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,BAYVIEW,NONE,1700 Block of EGBERT AV,-122.3982975,37.72661212,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,MISSION,"ARREST, BOOKED",2100 Block of MISSION ST,-122.4195616,37.76321611,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,NORTHERN,"ARREST, BOOKED",1000 Block of POLK ST,-122.4198583,37.78613713,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,MISSION,"ARREST, BOOKED",MISSION ST / 24TH ST,-122.4184482,37.75223917,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,TENDERLOIN,NONE,600 Block of OFARRELL ST,-122.4148505,37.78560876,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,INGLESIDE,NONE,1900 Block of SUNNYDALE AV,-122.417108,37.71225618,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,TENDERLOIN,"ARREST, BOOKED",200 Block of LEAVENWORTH ST,-122.4140811,37.78327673,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,SOUTHERN,NONE,900 Block of MISSION ST,-122.4080525,37.78156683,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,TENDERLOIN,NONE,0 Block of UNITEDNATIONS PZ,-122.4143179,37.77994441,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,NONE,1800 Block of ALEMANY BL,-122.4374502,37.72330867,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,NORTHERN,"ARREST, BOOKED",900 Block of GEARY ST,-122.4189401,37.78604922,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,MISSION,NONE,3000 Block of 21ST ST,-122.4161781,37.7572543,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,NONE,400 Block of SAN BRUNO AV,-122.4054688,37.76392592,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,BAYVIEW,NONE,100 Block of GAVEN ST,-122.408665,37.73341924,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,PARK,NONE,STANYAN ST / HAIGHT ST,-122.4535346,37.7691663,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,TARAVAL,"ARREST, BOOKED",300 Block of BRIGHT ST,-122.4634625,37.71705029,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,NORTHERN,"ARREST, BOOKED",3600 Block of LYON ST,-122.4482784,37.80427189,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,RICHMOND,"ARREST, BOOKED",1500 Block of LAKE ST,-122.4760541,37.78620918,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,NONE,3100 Block of 16TH ST,-122.4236225,37.76475739,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,SOUTHERN,NONE,0 Block of MINNA ST,-122.3987082,37.78808967,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,SOUTHERN,NONE,0 Block of 6TH ST,-122.4090112,37.78113406,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,SOUTHERN,NONE,600 Block of MARKET ST,-122.401655,37.78890489,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,"ARREST, BOOKED",4700 Block of 18TH ST,-122.4439466,37.75994462,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,BAYVIEW,NONE,JAMESTOWN AV / SALINAS AV,-122.3982309,37.72112254,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,INGLESIDE,NONE,1200 Block of PLYMOUTH AV,-122.4564994,37.72469467,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,"ARREST, BOOKED",500 Block of SOUTH VAN NESS AV,-122.417477,37.76435775,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,NORTHERN,"ARREST, BOOKED",900 Block of LARKIN ST,-122.4181565,37.78681037,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,CENTRAL,NONE,400 Block of GEARY ST,-122.4107216,37.78709665,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,PARK,NONE,STANYAN ST / HAIGHT ST,-122.4535346,37.7691663,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,PARK,NONE,BUENAVISTAWEST AV / WALLER ST,-122.4427648,37.76966019,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,MISSION,NONE,16TH ST / MISSION ST,-122.4196718,37.76505012,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,NORTHERN,"ARREST, BOOKED",800 Block of LARKIN ST,-122.4181105,37.78586277,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,BAYVIEW,"ARREST, BOOKED",PHELPS ST / BANCROFT AV,-122.4002762,37.72983853,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,NORTHERN,NONE,EDDY ST / POLK ST,-122.4191831,37.78309982,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,RICHMOND,NONE,500 Block of POINTLOBOS AV,-122.5089043,37.77983151,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,NORTHERN,NONE,GOLDEN GATE AV / WEBSTER ST,-122.4302346,37.77978243,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,CENTRAL,NONE,700 Block of VALLEJO ST,-122.4097917,37.79850835,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,"ARREST, BOOKED",0 Block of LELAND AV,-122.4052482,37.71172271,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,SOUTHERN,NONE,400 Block of 6TH ST,-122.4036714,37.77703244,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,SOUTHERN,NONE,5TH ST / MARKET ST,-122.4080683,37.78399168,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,"ARREST, BOOKED",1000 Block of VALENCIA ST,-122.4210716,37.75569414,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,NONE,2000 Block of MISSION ST,-122.4196583,37.76422056,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,"ARREST, BOOKED",200 Block of VALENCIA ST,-122.4221586,37.76844039,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,NORTHERN,NONE,HERMANN ST / FILLMORE ST,-122.4300766,37.7702422,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,"ARREST, BOOKED",400 Block of VALENCIA ST,-122.4219351,37.76613439,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,CENTRAL,NONE,100 Block of PINE ST,-122.3991759,37.79227742,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,NONE,3300 Block of CESAR CHAVEZ ST,-122.417067,37.74828543,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,SOUTHERN,NONE,300 Block of 1ST ST,-122.3936189,37.78668893,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,NORTHERN,NONE,1600 Block of POLK ST,-122.4210331,37.79193935,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,NONE,SHOTWELL ST / 18TH ST,-122.4160784,37.76203479,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,INGLESIDE,NONE,100 Block of POPE ST,-122.44094,37.71325927,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,TENDERLOIN,"ARREST, BOOKED",400 Block of EDDY ST,-122.4150887,37.78367196,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,PARK,NONE,BRODERICK ST / MCALLISTER ST,-122.4400304,37.77758616,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,TARAVAL,NONE,1600 Block of OCEAN AV,-122.4595646,37.72469269,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,NORTHERN,NONE,OFARRELL ST / LARKIN ST,-122.417904,37.78516709,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,BAYVIEW,"ARREST, BOOKED",800 Block of FELTON ST,-122.4130136,37.7278931,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,BAYVIEW,NONE,1000 Block of OAKDALE AV,-122.3803483,37.72882763,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,SOUTHERN,"ARREST, BOOKED",1700 Block of MARKET ST,-122.4229248,37.77211585,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,RICHMOND,NONE,200 Block of 2ND AV,-122.4602712,37.78405037,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,BAYVIEW,"ARREST, BOOKED",1500 Block of CUSTER AV,-122.3901833,37.74579569,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,INGLESIDE,NONE,MISSION ST / 30TH ST,-122.4219709,37.74237522,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,MISSION,"ARREST, BOOKED",100 Block of CAPP ST,-122.4186879,37.76427539,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,TENDERLOIN,NONE,200 Block of ELLIS ST,-122.4103235,37.78512252,,
